乌头,栀子,1,1,1,1
麦门冬,山茱萸,3,3,3,3
人参,鹿茸,4,4,4,4
当归,官桂,3,3,3,3
枳壳,细辛,2,2,2,2
防风,莪术,2,2,2,2
巴戟天,蒲黄,1,1,1,1
草乌,秦艽,4,4,4,4
桑白皮,朱砂,1,1,1,1
干姜,蔓荆子,1,1,1,1
蝉蜕,黄芩,3,3,3,3
赤芍,藿香,2,2,1,1.666666667
干地黄,巴戟天,5,4,5,4.666666667
全蝎,猪苓,2,2,1,1.666666667
萆薢,赤小豆,5,4,5,4.666666667
青皮,连翘,2,3,2,2.333333333
橘红,防己,2,3,2,2.333333333
藁本,肉豆蔻,1,1,2,1.333333333
神曲,巴豆,1,1,2,1.333333333
川椒,胡黄连,2,1,2,1.666666667
高良姜,五倍子,1,1,2,1.333333333
麦芽,白僵蚕,1,2,2,1.666666667
黄连,威灵仙,1,2,2,1.666666667
乌药,贝母,2,3,2,2.333333333
苍术,乌梅肉,2,1,1,1.333333333
生地,苍术,2,2,3,2.333333333
生甘草,麝香,3,2,2,2.333333333
肉桂,枳壳,2,1,1,1.333333333
鳖甲,香附子,2,1,2,1.666666667
蜀椒,川芎,1,1,2,1.333333333
黄芪,葱白,1,1,2,1.333333333
牛黄,苦参,2,1,1,1.333333333
熟地黄,生地,4,5,5,4.666666667
丁香,栀子,3,2,2,2.333333333
神曲,白芍,3,2,2,2.333333333
丁香,补骨脂,4,3,4,3.666666667
车前子,没药,2,3,2,2.333333333
丁香,牡蛎,1,2,2,1.666666667
巴豆,陈皮,1,1,2,1.333333333
枳壳,柏子仁,2,3,2,2.333333333
款冬花,五倍子,1,2,1,1.333333333
沉香,天麻,3,3,4,3.333333333
牡丹皮,白芍,3,3,4,3.333333333
炙甘草,羌活,3,3,2,2.666666667
没药,五灵脂,3,4,4,3.666666667
山药,破故纸,3,4,4,3.666666667
诃子,天麻,2,1,1,1.333333333
羚羊角,杏仁,2,1,2,1.666666667
款冬花,山茱萸,2,1,2,1.666666667
茯神,蜈蚣,2,1,2,1.666666667
桔梗,白芷,1,2,2,1.666666667
车前子,大枣,2,1,2,1.666666667
延胡索,紫苏,2,2,3,2.333333333
独活,枳实,1,2,1,1.333333333
地龙,黄柏,2,1,1,1.333333333
桔梗,干葛,2,3,3,2.666666667
射干,丹皮,2,1,2,1.666666667
龙骨,天花粉,3,2,2,2.333333333
羚羊角,神曲,2,3,2,2.333333333
茯神,熟干地黄,4,4,3,3.666666667
生地,羌活,1,1,2,1.333333333
槟榔,雄黄,1,1,2,1.333333333
熟地,高良姜,2,2,1,1.666666667
人参,桑白皮,3,2,2,2.333333333
熟干地黄,茯苓,5,4,4,4.333333333
萆薢,桑白皮,3,3,2,2.666666667
大腹皮,木鳖子,2,1,1,1.333333333
酸枣仁,石菖蒲,4,4,5,4.333333333
生地,茯神,4,4,3,3.666666667
炙甘草,朱砂,3,4,3,3.333333333
艾叶,滑石,2,1,1,1.333333333
黄柏,鹿茸,2,1,2,1.666666667
乌梅,地龙,2,1,2,1.666666667
天南星,蒲黄,2,2,1,1.666666667
芦荟,厚朴,1,2,1,1.333333333
前胡,砂仁,2,1,2,1.666666667
红花,天麻,2,3,2,2.333333333
生姜,蔓荆子,2,3,3,2.666666667
大枣,蔓荆子,2,3,2,2.333333333
葱白,细辛,3,3,4,3.333333333
